TrajectoryID,Stage,Patient,AUTOPHAGY,CELL CYCLE,CELL-CELL COMMUNICATION,CELLULAR RESPONSES TO STIMULI,CHROMATIN ORGANIZATION,CIRCADIAN CLOCK,DEVELOPMENTAL BIOLOGY,DNA REPAIR,DNA REPLICATION,DRUG ADME,EXTRACELLULAR MATRIX ORGANIZATION,HEMOSTASIS,METABOLISM OF RNA,MUSCLE CONTRACTION,NEURONAL SYSTEM,ORGANELLE BIOGENESIS AND MAINTENANCE,PROGRAMMED CELL DEATH,PROTEIN LOCALIZATION,REPRODUCTION,SENSORY PERCEPTION,TRANSPORT OF SMALL MOLECULES,VESICLE-MEDIATED TRANSPORT
115,2,TCGA-A1-A0SQ-01,[0.69850194 1.         0.        ],[nan  1. nan],[-0.9072439   0.85193944  0.        ],[nan  1. nan],[0.71547866 1.         0.        ],[-0.80009294  0.9430209   0.        ],[-0.97934324  0.7692011   0.        ],[2.3259645 0.        1.       ],[2.334593 0.       1.      ],[-1.3168693   0.18414158  0.        ],[-0.7317519   0.93740255  0.        ],[-0.5312972  0.9813592  0.       ],[-0.35079628  0.8233704   0.        ],[-1.4214172   0.09126964  0.        ],[-1.0025264   0.78713065  0.        ],[0.6569553  0.97698045 0.        ],[-0.4064172  0.8738692  0.       ],[-0.44334638  0.9300814   0.        ],[-1.4291692   0.10559312  0.        ],[-1.1057227  0.5607165  0.       ],[-1.2918009   0.19233088  0.        ],[nan  1. nan]
115,3,TCGA-A1-A0SJ-01,[1.2933624  0.21679316 0.        ],[2.569664 0.       1.      ],[-1.2073457   0.72093064  0.        ],[0.91472185 0.9471486  0.        ],[0.8122804 1.        0.       ],[0.74151534 1.         0.        ],[-0.95959646  0.66412956  0.        ],[2.0199404 0.        1.       ],[2.11103 0.      1.     ],[-1.0285907   0.72744894  0.        ],[-0.87808156  0.71721816  0.        ],[1.0290295 0.6857964 0.       ],[0.7251331 0.9353808 0.       ],[-1.316843  1.        0.      ],[-1.1173782  0.8014191  0.       ],[1.099351  0.5544734 0.       ],[-0.5430322  0.9856941  0.       ],[0.8651607  0.99059844 0.        ],[-1.0659314   0.76874334  0.        ],[-1.0247442  0.6316956  0.       ],[-1.2266767   0.98871464  0.        ],[1.301276   0.25557563 0.        ]
116,2,TCGA-GM-A2DB-01,[-0.5418204  1.         0.       ],[2.3135579 0.        1.       ],[-1.1841743   0.46989918  0.        ],[0.56026804 1.         0.        ],[0.46649876 0.99846023 0.        ],[-1.0627067  0.6190737  0.       ],[-1.2055777  0.7407717  0.       ],[1.659319   0.01099057 1.        ],[2.050111 0.       1.      ],[-0.47119668  0.9941467   0.        ],[-1.0285842  0.6313354  0.       ],[-0.6651492  1.         0.       ],[1.4433087  0.07746418 0.        ],[-1.5616139   0.09982876  0.        ],[-1.7137053   0.02750473 -1.        ],[0.6828497 1.        0.       ],[-1.4824845  0.1473147  0.       ],[0.5099091 1.        0.       ],[-1.1996769   0.50757986  0.        ],[-1.2027895  0.6012531  0.       ],[-1.0698576  0.6793805  0.       ],[-0.62973136  1.          0.        ]
116,3,TCGA-A2-A04P-01,[0.6256237 0.9796496 0.       ],[2.5545006 0.        1.       ],[-1.253956    0.59762424  0.        ],[-0.51049703  1.          0.        ],[-0.5557801  1.         0.       ],[-0.7886665  1.         0.       ],[-1.0471743   0.97030884  0.        ],[1.6880468  0.00634206 1.        ],[2.0965931 0.        1.       ],[-0.4270619  0.9980462  0.       ],[-1.1708664  0.722243   0.       ],[0.87314475 1.         0.        ],[-0.7147278  1.         0.       ],[-1.3915589  1.         0.       ],[-1.3105733   0.56781137  0.        ],[0.70121825 1.         0.        ],[0.6893409 1.        0.       ],[-0.863102  1.        0.      ],[1.7869473  0.00255811 1.        ],[-0.95736843  1.          0.        ],[-1.3242977  0.7802084  0.       ],[-0.62305355  1.          0.        ]
117,2,TCGA-AR-A1AW-01,[-0.6478701  1.         0.       ],[2.359246 0.       1.      ],[-1.2616736   0.48796386  0.        ],[-0.8223582  1.         0.       ],[0.63455456 1.         0.        ],[-0.5461454  0.991406   0.       ],[-1.3017205  0.5274484  0.       ],[1.7795084e+00 1.5535714e-03 1.0000000e+00],[1.8905814e+00 1.1250001e-03 1.0000000e+00],[0.71700394 1.         0.        ],[-0.97754574  0.9132639   0.        ],[-0.6988474  1.         0.       ],[0.62243474 0.9889055  0.        ],[-1.4958581   0.42849904  0.        ],[-0.67074156  1.          0.        ],[0.8621248 1.        0.       ],[0.9696675 1.        0.       ],[-0.5500875  1.         0.       ],[-1.2438291  0.4299624  0.       ],[-1.3665224  0.5427191  0.       ],[-1.2250624   0.39466813  0.        ],[0.9445855 1.        0.       ]
117,3,TCGA-A2-A0CL-01,[-0.59190756  1.          0.        ],[2.3445697 0.        1.       ],[0.6635058 1.        0.       ],[0.8449525 1.        0.       ],[0.5694395 0.9946014 0.       ],[-0.5387125  1.         0.       ],[-0.93213344  0.88471496  0.        ],[1.7740967  0.00191498 1.        ],[1.9465415 0.        1.       ],[0.67569876 1.         0.        ],[0.8877364 1.        0.       ],[1.1417919  0.75701535 0.        ],[0.91787755 1.         0.        ],[-1.2495133  1.         0.       ],[-1.010451  1.        0.      ],[0.7883282 1.        0.       ],[1.0299315  0.79294276 0.        ],[-0.46089336  0.9984365   0.        ],[1.0786885 0.8673622 0.       ],[-0.99401766  0.8974944   0.        ],[-1.1853045   0.83942574  0.        ],[1.0463415 0.8521716 0.       ]
118,2,TCGA-S3-AA17-01,[-0.64368606  1.          0.        ],[2.3905306 0.        1.       ],[-1.112814    0.74701315  0.        ],[0.46179098 1.         0.        ],[0.42498577 0.9996667  0.        ],[-0.76061064  0.98650235  0.        ],[-0.9998917  0.8048393  0.       ],[1.8178083e+00 1.3095237e-03 1.0000000e+00],[1.9244761e+00 1.2500001e-03 1.0000000e+00],[0.5717563 1.        0.       ],[-0.93050385  0.86329085  0.        ],[-0.82987815  0.9635728   0.        ],[0.8982239 1.        0.       ],[-1.5944945   0.16569565  0.        ],[-1.0095266  0.9095291  0.       ],[0.7008858 1.        0.       ],[0.63762224 1.         0.        ],[-0.39793506  0.999634    0.        ],[-1.2433277   0.50130683  0.        ],[-1.4422828   0.28867278  0.        ],[-1.3128433  0.4472787  0.       ],[0.8736889 1.        0.       ]
118,3,TCGA-A2-A0CL-01,[-0.59190756  1.          0.        ],[2.3445697 0.        1.       ],[0.6635058 1.        0.       ],[0.8449525 1.        0.       ],[0.5694395 0.9946014 0.       ],[-0.5387125  1.         0.       ],[-0.93213344  0.88471496  0.        ],[1.7740967  0.00191498 1.        ],[1.9465415 0.        1.       ],[0.67569876 1.         0.        ],[0.8877364 1.        0.       ],[1.1417919  0.75701535 0.        ],[0.91787755 1.         0.        ],[-1.2495133  1.         0.       ],[-1.010451  1.        0.      ],[0.7883282 1.        0.       ],[1.0299315  0.79294276 0.        ],[-0.46089336  0.9984365   0.        ],[1.0786885 0.8673622 0.       ],[-0.99401766  0.8974944   0.        ],[-1.1853045   0.83942574  0.        ],[1.0463415 0.8521716 0.       ]
119,1,TCGA-BH-A0B6-01,[0.57087815 1.         0.        ],[1.9049492  0.00514245 1.        ],[-1.4228615   0.24864028  0.        ],[0.8264482 1.        0.       ],[0.53184754 0.995724   0.        ],[-0.8188956  1.         0.       ],[-0.9464238  1.         0.       ],[1.5497634  0.05526415 0.        ],[1.7885458  0.01894991 1.        ],[-0.47120473  1.          0.        ],[-0.5395319  1.         0.       ],[0.9598255 0.888639  0.       ],[-0.7360456  1.         0.       ],[-1.1996349   0.50529104  0.        ],[-1.0320932  0.9103286  0.       ],[-0.3936592   0.99898577  0.        ],[1.1822114  0.45451286 0.        ],[0.6252016 1.        0.       ],[-1.246148    0.62070733  0.        ],[-1.558871    0.13572976  0.        ],[-1.2366623   0.50090235  0.        ],[0.9667874 1.        0.       ]
119,2,TCGA-EW-A1OV-01,[-0.81337774  1.          0.        ],[2.405866 0.       1.      ],[-1.1833501   0.62282634  0.        ],[0.4493344 0.999154  0.       ],[0.7512633 1.        0.       ],[-0.74682826  1.          0.        ],[-1.0389833  0.8172249  0.       ],[1.9899575 0.        1.       ],[2.0789235 0.        1.       ],[0.64139384 1.         0.        ],[-0.9178022  1.         0.       ],[-0.6685212  0.8982786  0.       ],[1.534429   0.03158629 1.        ],[-1.43428    0.5383085  0.       ],[-1.1019571  0.7522075  0.       ],[0.67783284 1.         0.        ],[0.8543295 1.        0.       ],[-0.7225848  0.9203875  0.       ],[-1.2331434   0.58696884  0.        ],[-1.3428849   0.54966336  0.        ],[-1.278349   0.5843177  0.       ],[-0.7467239  0.9794026  0.       ]
