TrajectoryID,Stage,Patient,AUTOPHAGY,CELL CYCLE,CELL-CELL COMMUNICATION,CELLULAR RESPONSES TO STIMULI,CHROMATIN ORGANIZATION,CIRCADIAN CLOCK,DEVELOPMENTAL BIOLOGY,DNA REPAIR,DNA REPLICATION,DRUG ADME,EXTRACELLULAR MATRIX ORGANIZATION,HEMOSTASIS,METABOLISM OF RNA,MUSCLE CONTRACTION,NEURONAL SYSTEM,ORGANELLE BIOGENESIS AND MAINTENANCE,PROGRAMMED CELL DEATH,PROTEIN LOCALIZATION,REPRODUCTION,SENSORY PERCEPTION,TRANSPORT OF SMALL MOLECULES,VESICLE-MEDIATED TRANSPORT
0,2,TCGA-E9-A3HO-01,[-0.5853448  1.         0.       ],[2.6579788 0.        1.       ],[-1.0686302   0.71932447  0.        ],[0.40678316 0.99979997 0.        ],[0.49368614 1.         0.        ],[-1.3987359   0.22101323  0.        ],[-1.0124143   0.65671754  0.        ],[1.9779258 0.        1.       ],[2.10309 0.      1.     ],[-0.523734  1.        0.      ],[-1.1757933  0.5699179  0.       ],[-0.7066373  1.         0.       ],[1.4526812  0.05161818 0.        ],[-1.5387559   0.33672214  0.        ],[-1.5289336  0.1780886  0.       ],[1.0541704  0.57980204 0.        ],[0.7266037 1.        0.       ],[-0.34797454  0.99994445  0.        ],[1.7924613e+00 1.5029762e-03 1.0000000e+00],[-1.0655524  0.623751   0.       ],[-1.4216322   0.25466162  0.        ],[0.7904447 1.        0.       ]
0,3,TCGA-A2-A0CK-01,[0.7997143 1.        0.       ],[2.5573847 0.        1.       ],[-1.7964289   0.06518151  0.        ],[-0.36407894  0.9998042   0.        ],[-0.7387171  1.         0.       ],[-1.1674132   0.55887985  0.        ],[-0.93019915  0.8885901   0.        ],[1.665997   0.01280469 1.        ],[1.7559941  0.00621352 1.        ],[-1.583311    0.19566111  0.        ],[-0.7735035  1.         0.       ],[-0.623388  1.        0.      ],[1.1616269  0.33935133 0.        ],[-1.0027386  0.8329288  0.       ],[-1.3361064  0.4099957  0.       ],[0.6019692 0.9878613 0.       ],[0.67081594 1.         0.        ],[-0.65349793  1.          0.        ],[1.3678062  0.12506661 0.        ],[-1.2040527   0.57540524  0.        ],[-1.5324506   0.18726024  0.        ],[1.0003757 0.6756605 0.       ]
1,2,TCGA-GM-A3NW-01,[-0.5729418  1.         0.       ],[2.4271533 0.        1.       ],[-1.5307413   0.15243906  0.        ],[0.48959675 0.99872893 0.        ],[0.6564227 1.        0.       ],[-0.5218343  0.9935792  0.       ],[-1.1278956  0.6729667  0.       ],[2.0564377 0.        1.       ],[1.9421344e+00 6.7340070e-04 1.0000000e+00],[-0.61594313  1.          0.        ],[-1.2415603  0.6080301  0.       ],[-0.7402253  1.         0.       ],[1.364186   0.09630439 0.        ],[-1.5857072   0.14458105  0.        ],[-1.1303325  0.7998897  0.       ],[0.547243 1.       0.      ],[-0.64485055  1.          0.        ],[-0.9086141  1.         0.       ],[1.352777   0.08408922 0.        ],[-1.6608725   0.16213168  0.        ],[-1.0620233  0.7388936  0.       ],[-0.61334044  1.          0.        ]
1,3,TCGA-A2-A0CK-01,[0.7997143 1.        0.       ],[2.5573847 0.        1.       ],[-1.7964289   0.06518151  0.        ],[-0.36407894  0.9998042   0.        ],[-0.7387171  1.         0.       ],[-1.1674132   0.55887985  0.        ],[-0.93019915  0.8885901   0.        ],[1.665997   0.01280469 1.        ],[1.7559941  0.00621352 1.        ],[-1.583311    0.19566111  0.        ],[-0.7735035  1.         0.       ],[-0.623388  1.        0.      ],[1.1616269  0.33935133 0.        ],[-1.0027386  0.8329288  0.       ],[-1.3361064  0.4099957  0.       ],[0.6019692 0.9878613 0.       ],[0.67081594 1.         0.        ],[-0.65349793  1.          0.        ],[1.3678062  0.12506661 0.        ],[-1.2040527   0.57540524  0.        ],[-1.5324506   0.18726024  0.        ],[1.0003757 0.6756605 0.       ]
2,2,TCGA-HN-A2NL-01,[-1.3563266   0.40921894  0.        ],[2.8428562 0.        1.       ],[-1.1556019   0.59703726  0.        ],[0.6090107  0.98920923 0.        ],[-0.38520646  0.999833    0.        ],[-1.1789403  0.616591   0.       ],[-0.7711504   0.99782014  0.        ],[2.298136 0.       1.      ],[2.3038573 0.        1.       ],[-1.1088017  0.6463843  0.       ],[-0.9509068  0.9000721  0.       ],[-0.8559415  0.9366033  0.       ],[1.8480645e+00 8.9013230e-04 1.0000000e+00],[-1.5352105   0.28432095  0.        ],[-1.2800504  0.5152691  0.       ],[-0.9197751  0.8880257  0.       ],[-0.461704  1.        0.      ],[-0.6661512  1.         0.       ],[-1.2634135   0.45701337  0.        ],[-1.0816493  0.6426579  0.       ],[-1.4388498   0.33877346  0.        ],[0.88920057 0.83224326 0.        ]
2,3,TCGA-A2-A0CK-01,[0.7997143 1.        0.       ],[2.5573847 0.        1.       ],[-1.7964289   0.06518151  0.        ],[-0.36407894  0.9998042   0.        ],[-0.7387171  1.         0.       ],[-1.1674132   0.55887985  0.        ],[-0.93019915  0.8885901   0.        ],[1.665997   0.01280469 1.        ],[1.7559941  0.00621352 1.        ],[-1.583311    0.19566111  0.        ],[-0.7735035  1.         0.       ],[-0.623388  1.        0.      ],[1.1616269  0.33935133 0.        ],[-1.0027386  0.8329288  0.       ],[-1.3361064  0.4099957  0.       ],[0.6019692 0.9878613 0.       ],[0.67081594 1.         0.        ],[-0.65349793  1.          0.        ],[1.3678062  0.12506661 0.        ],[-1.2040527   0.57540524  0.        ],[-1.5324506   0.18726024  0.        ],[1.0003757 0.6756605 0.       ]
3,1,TCGA-BH-A8FY-01,[-0.6995258  1.         0.       ],[2.4772227 0.        1.       ],[-1.584367    0.08856712  0.        ],[-0.3812124  1.         0.       ],[-0.36033264  0.99945855  0.        ],[-0.8856061  1.         0.       ],[-1.1034851   0.83879507  0.        ],[1.9682615 0.        1.       ],[2.0938694 0.        1.       ],[0.60549253 0.9883591  0.        ],[-1.0906281   0.76969445  0.        ],[-0.678538  1.        0.      ],[1.0816069 0.5277435 0.       ],[-1.502033   0.1266241  0.       ],[-1.4194666   0.18512814  0.        ],[0.8662014 0.8425004 0.       ],[-0.37206805  1.          0.        ],[-0.7770915  1.         0.       ],[0.9554305 0.7667526 0.       ],[-1.1979356   0.73200375  0.        ],[-1.1967614   0.58952284  0.        ],[-0.77510154  1.          0.        ]
3,2,TCGA-GM-A5PV-01,[-0.5138855   0.97846293  0.        ],[nan  1. nan],[-1.4344586   0.13929479  0.        ],[nan  1. nan],[-0.24008745  0.87499994  0.        ],[-0.8253749  0.8827679  0.       ],[-1.0360969  0.6326035  0.       ],[1.59022    0.04194187 1.        ],[1.978546   0.00792602 1.        ],[-0.7638907  0.8814107  0.       ],[-1.1041051   0.59394175  0.        ],[-0.96623933  0.7195471   0.        ],[1.4028226  0.08604141 0.        ],[-1.4637119   0.14900976  0.        ],[-1.3928224  0.1516491  0.       ],[0.86147255 0.8814264  0.        ],[0.6721399  0.95889485 0.        ],[0.9006212 0.9993391 0.       ],[-1.0872506  0.5701473  0.       ],[-1.2681441   0.32278135  0.        ],[-1.108996   0.6629345  0.       ],[-0.4636182  0.9251482  0.       ]
3,3,TCGA-A2-A0CK-01,[0.7997143 1.        0.       ],[2.5573847 0.        1.       ],[-1.7964289   0.06518151  0.        ],[-0.36407894  0.9998042   0.        ],[-0.7387171  1.         0.       ],[-1.1674132   0.55887985  0.        ],[-0.93019915  0.8885901   0.        ],[1.665997   0.01280469 1.        ],[1.7559941  0.00621352 1.        ],[-1.583311    0.19566111  0.        ],[-0.7735035  1.         0.       ],[-0.623388  1.        0.      ],[1.1616269  0.33935133 0.        ],[-1.0027386  0.8329288  0.       ],[-1.3361064  0.4099957  0.       ],[0.6019692 0.9878613 0.       ],[0.67081594 1.         0.        ],[-0.65349793  1.          0.        ],[1.3678062  0.12506661 0.        ],[-1.2040527   0.57540524  0.        ],[-1.5324506   0.18726024  0.        ],[1.0003757 0.6756605 0.       ]
4,1,TCGA-WT-AB44-01,[0.8817673  0.68145645 0.        ],[-0.91441363  1.          0.        ],[-0.9423581  1.         0.       ],[nan  1. nan],[-0.80520207  1.          0.        ],[-0.79680234  1.          0.        ],[-0.94266003  1.          0.        ],[-1.0132246  1.         0.       ],[-0.30612397  0.9498116   0.        ],[-0.52120167  1.          0.        ],[-0.49590725  1.          0.        ],[-0.7794263  1.         0.       ],[1.3166636  0.21539079 0.        ],[-1.2033784  1.         0.       ],[-1.1977178  1.         0.       ],[-0.43743873  0.99176294  0.        ],[-0.99739105  1.          0.        ],[-0.46632257  1.          0.        ],[-0.9918443  1.         0.       ],[-0.9793541  1.         0.       ],[-0.9349364  1.         0.       ],[-0.93799824  1.          0.        ]
